trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,iid,0.5227397235992323,0.2903491410964989,,0,0.5,35
2,iid,0.47684541804111424,0.012791823202453312,,0,0.5,35
3,iid,0.7251319244747382,0.8262567647161568,,1,4.0,20
4,iid,0.2576705597824529,0.5928108174470722,,1,4.0,13
5,iid,0.7004746764294935,0.540312640014949,,1,4.0,19
6,iid,0.9063824154125412,0.6499214126708314,,0,0.5,35
7,iid,0.18948763793047751,0.6091217206692536,,0,1.5,35
8,iid,0.7820494103213789,0.7769816730206494,,1,4.0,22
9,iid,0.5545459540171773,0.8519995767515423,,0,1.5,35
10,iid,0.49252733404927707,0.2653169904993531,,0,0.5,35
11,iid,0.5700009036612981,0.993891038579021,,1,4.0,31
12,iid,0.07328590374824384,0.32068047720338166,,1,4.0,16
13,iid,0.021219002260156827,0.22279732655328888,,0,1.0,35
14,iid,0.31984550096968156,0.5271364657629859,,1,4.0,12
15,iid,0.5952739440626439,0.3870911790003746,,0,0.5,35
16,iid,0.80255026349984,0.6205469371195333,,0,1.0,35
17,iid,0.2632497022844553,0.9085196754618403,,1,4.0,14
18,iid,0.29211589326939635,0.8563177017492987,,1,4.0,14
19,iid,0.6006898553594345,0.3111373613600966,,0,0.5,35
20,iid,0.1985643836917672,0.1393657188362829,,0,1.0,35
21,iid,0.5812598424520712,0.1034111522477521,,0,0.5,35
