trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,initial_random,0.0,1.0,35,0.4,0.3,1.0,-30.0,30.0,102.0
10,initial_random,0.0,1.0,35,0.4,0.7000000000000001,1.0,-30.0,30.0,102.0
26,initial_random,0.0,1.0,35,0.3,0.9,1.0,-30.0,30.0,102.0
62,active,0.0,1.0,35,0.3,0.1,1.0,-30.0,30.0,102.0
63,active,0.0,1.0,35,0.5,0.3,1.0,-30.0,30.0,102.0
68,active,0.0,1.0,35,0.4,0.2,1.0,-30.0,30.0,102.0
54,active,0.0,1.0,35,0.3,0.4,3.0,-30.0,30.0,102.0
74,active,0.0,1.0,35,0.3,0.2,1.0,-30.0,30.0,102.0
87,active,0.0,1.0,35,0.1,0.0,1.0,-30.0,30.0,102.0
91,active,0.0,1.5,35,0.0,0.2,1.0,90.0,70.0,84.0
50,active,0.0,2.5,35,0.0,0.9,3.0,-30.0,30.0,102.0
47,active,0.0,2.5,35,0.3,0.5,3.0,-30.0,30.0,102.0
88,active,0.0,2.5,35,0.0,1.0,3.0,90.0,70.0,84.0
67,active,0.0,3.0,35,0.4,1.0,3.0,90.0,70.0,84.0
5,initial_random,0.0,3.0,35,0.1,0.5,1.0,90.0,70.0,84.0
14,initial_random,0.0,3.0,35,0.5,1.0,3.0,-30.0,30.0,102.0
73,active,0.0,3.5,35,0.4,1.0,1.0,90.0,70.0,84.0
82,active,0.0,3.5,35,0.4,0.7000000000000001,1.0,90.0,70.0,84.0
53,active,0.0,3.5,35,0.1,0.6000000000000001,3.0,-30.0,30.0,102.0
29,initial_random,0.0,3.5,35,0.4,0.7000000000000001,3.0,90.0,70.0,84.0
66,active,0.0,4.0,35,0.3,0.1,1.0,90.0,70.0,84.0
51,active,0.0,4.0,35,0.0,0.5,3.0,-30.0,30.0,102.0
75,active,0.0,4.0,35,0.0,0.0,1.0,90.0,70.0,84.0
84,active,0.0,4.0,35,0.1,0.0,1.0,90.0,70.0,84.0
