trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
11,iid,0.0,0.0,35,0.0,0.7000000000000001,1.0,-30.0,30.0,102.0
25,iid,0.0,0.0,35,0.3,1.0,1.0,15.0,30.0,103.0
58,iid,0.0,0.0,35,0.0,1.0,1.0,90.0,70.0,84.0
41,iid,0.0,0.0,35,0.0,0.9,1.0,-30.0,30.0,102.0
81,iid,0.0,0.0,35,0.5,1.0,1.0,90.0,70.0,84.0
66,iid,0.0,0.0,35,0.0,0.7000000000000001,1.0,15.0,30.0,103.0
8,iid,0.0,0.5,35,0.2,0.9,1.0,90.0,70.0,84.0
87,iid,0.0,0.5,35,0.4,0.7000000000000001,1.0,15.0,30.0,103.0
83,iid,0.0,0.5,35,0.0,0.5,1.0,-30.0,30.0,102.0
39,iid,0.0,1.0,35,0.2,0.5,1.0,90.0,70.0,84.0
24,iid,0.0,1.0,35,0.5,0.8,1.0,90.0,70.0,84.0
10,iid,0.0,1.0,35,0.5,0.6000000000000001,1.0,90.0,70.0,84.0
6,iid,0.0,1.0,35,0.5,0.8,1.0,-30.0,30.0,102.0
29,iid,0.0,1.0,35,0.3,0.7000000000000001,1.0,-30.0,30.0,102.0
60,iid,0.0,1.0,35,0.3,0.8,1.0,-30.0,30.0,102.0
