obj_x,obj_y,table_height,camera_viewpoint,traj_id
0.2,0.4,3,back,1765936670
0.4,0.2,3,back,1765936714
0.2,0.1,3,back,1765936771
0.2,0.1,3,back,1765936808
0.0,0.0,3,back,1765936840
0.2,0.1,3,back,1765936863
0.0,0.0,3,back,1765936911
0.1,0.0,3,back,1765936941
0.1,0.2,3,back,1765936972
0.3,0.3,3,back,1765937008
0.5,0.4,3,back,1765937041
0.0,0.2,3,back,1765937055
0.2,0.5,3,back,1765937076
0.0,0.2,3,back,1765937092
0.3,0.3,3,back,1765937109
0.2,0.2,3,back,1765937128
0.5,0.4,3,back,1765937146
0.1,0.0,3,back,1765937172
0.0,0.2,3,back,1765937195
0.3,0.2,3,back,1765937234
0.1,0.2,3,back,1765937263
0.1,0.3,3,back,1765937279
0.3,0.4,3,back,1765937298
0.1,0.0,3,back,1765937329
0.0,0.3,3,back,1765937357
0.2,0.2,3,back,1765937385
0.3,0.5,3,back,1765937432
