obj_x,obj_y,lid_x,lid_y,lid_on,table_height,camera_viewpoint,traj_id
0.0,0.0,0.5,0.5,True,1.0,back,1770616620.0
0.2,0.1,0.5,0.5,True,1.0,back,1770616662.0
0.3,0.4,0.5,0.5,True,1.0,back,1770616724.0
0.1,0.2,0.5,0.5,True,1.0,back,1770616939.0
0.4,0.3,0.5,0.5,True,1.0,back,1770617342.0
0.0,0.4,0.5,0.5,True,1.0,back,1770617440.0
0.2,0.2,0.5,0.5,True,1.0,back,1770617479.0
0.3,0.3,0.5,0.5,True,1.0,back,1770617571.0
0.1,0.5,0.5,0.5,True,1.0,back,1770617653.0
0.1,0.5,0.5,0.5,True,1.0,back,1770617730.0
0.0,0.5,0.5,0.5,True,1.0,back,1770618151.0
0.1,0.1,1.0,back,1771046055,,,
0.3,0.2,1.0,back,1771046116,,,
0.1,0.0,1.0,back,1771046273,,,
0.0,0.1,1.0,back,1771046350,,,
0.1,0.5,1.0,back,1771287837,,,
0.4,0.3,1.0,back,1771287885,,,
0.0,0.0,1.0,back,1771287932,,,
0.0,0.5,1.0,back,1771287974,,,
0.3,0.5,1.0,back,1771288019,,,
