obj_x,obj_y,lid_x,lid_y,lid_on,table_height,camera_viewpoint,traj_id
0.6,1.0,0.5,0.5,True,1.0,right,1767917487.0
0.7,1.0,0.5,0.5,True,1.0,right,1767917529.0
1.0,0.8,0.5,0.5,True,1.0,right,1767917573.0
0.6,0.9,0.5,0.5,True,1.0,right,1767917704.0
1.0,0.9,0.5,0.5,True,1.0,right,1767917761.0
0.8,0.9,0.5,0.5,True,1.0,right,1767917812.0
0.7,0.9,0.5,0.5,True,1.0,right,1767917891.0
0.7,0.5,0.5,0.5,True,1.0,right,1770623036.0
0.9,0.7,0.5,0.5,True,1.0,right,1770623091.0
1.0,0.9,0.5,0.5,True,1.0,right,1770623157.0
0.7,0.9,0.5,0.5,True,1.0,right,1770623256.0
0.9,0.9,0.5,0.5,True,1.0,right,1770623394.0
0.8,0.9,0.5,0.5,True,1.0,right,1770623555.0
0.9,0.8,0.5,0.5,True,1.0,right,1770623596.0
0.5,0.7,1.0,right,1771051735,,,
0.5,0.7,1.0,right,1771053871,,,
0.7,0.8,1.0,right,1771053922,,,
0.6,0.7,1.0,right,1771053969,,,
0.7,0.5,1.0,right,1771054015,,,
0.8,1.0,1.0,right,1771054065,,,
