obj_x,obj_y,table_height,camera_viewpoint,traj_id
1.0,0.9,3.0,right,1770621009
1.0,1.0,3.0,right,1770621261
0.5,0.7,3.0,right,1770621329
0.5,0.9,3.0,right,1770621380
0.7,0.9,3.0,right,1770621688
0.9,0.8,3.0,right,1770621738
0.5,0.9,3.0,right,1770621887
0.7,0.9,3.0,right,1770621991
0.5,0.9,3.0,right,1770622031
0.9,0.9,3.0,right,1770622222
0.8,1.0,3.0,right,1770622329
0.9,0.9,3.0,right,1770622377
0.6,0.9,3.0,right,1771052297
0.9,0.6,3.0,right,1771052364
0.6,0.8,3.0,right,1771052424
1.0,1.0,3.0,right,1771053505
0.5,0.8,3.0,right,1771053547
0.9,0.6,3.0,right,1771053596
0.7,1.0,3.0,right,1771053663
0.7,0.9,3.0,right,1771053726
