trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,initial_random,0.2,0.6,,1.0,4.0,13
2,initial_random,0.5,0.6,,1.0,4.0,18
3,initial_random,0.2,1.0,,0.0,1.5,35
4,initial_random,0.1,0.2,,0.0,1.0,35
5,initial_random,0.8,0.8,,0.0,1.0,35
6,initial_random,0.1,0.0,,0.0,0.0,35
7,initial_random,0.3,0.8,,1.0,4.0,16
8,initial_random,0.0,0.7,,1.0,4.0,15
9,initial_random,0.2,1.0,,0.0,1.5,35
10,initial_random,0.8,0.5,,0.0,0.5,35
11,active,0.4,0.7,,1.0,4.0,17
12,active,0.4,0.4,,0.0,1.0,35
13,active,0.0,0.8,,1.0,4.0,18
14,active,0.2,0.7,,1.0,4.0,15
15,active,0.0,0.6,,1.0,4.0,14
16,active,0.0,0.5,,1.0,4.0,14
17,active,0.5,0.9,,1.0,4.0,22
18,active,0.6,0.7,,1.0,4.0,28
19,active,0.5,0.8,,1.0,4.0,18
20,active,0.1,0.6,,1.0,4.0,14
