trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,brute_force,0.0,0.0,,0.0,0.0,35
2,brute_force,0.1,0.0,,0.0,0.0,35
3,brute_force,0.2,0.0,,0.0,0.0,35
4,brute_force,0.3,0.0,,0.0,0.0,35
5,brute_force,0.4,0.0,,0.0,0.0,35
6,brute_force,0.0,0.1,,0.0,0.0,35
7,brute_force,0.1,0.1,,0.0,0.0,35
8,brute_force,0.2,0.1,,0.0,0.5,35
9,brute_force,0.3,0.1,,0.0,0.5,35
10,brute_force,0.4,0.1,,0.0,0.5,35
11,brute_force,0.5,0.1,,0.0,0.0,35
12,brute_force,0.0,0.2,,0.0,0.5,35
13,brute_force,0.1,0.2,,0.0,0.5,35
14,brute_force,0.2,0.2,,0.0,0.5,35
15,brute_force,0.3,0.2,,0.0,0.5,35
16,brute_force,0.4,0.2,,0.0,0.5,35
17,brute_force,0.5,0.2,,0.0,0.0,35
18,brute_force,0.6,0.2,,0.0,0.0,35
19,brute_force,0.0,0.3,,1.0,4.0,18
20,brute_force,0.1,0.3,,1.0,4.0,15
21,brute_force,0.2,0.3,,1.0,4.0,14
22,brute_force,0.3,0.3,,0.0,1.5,35
23,brute_force,0.4,0.3,,0.0,1.0,35
24,brute_force,0.5,0.3,,0.0,0.0,35
25,brute_force,0.6,0.3,,0.0,0.0,35
26,brute_force,0.7,0.3,,0.0,0.0,35
27,brute_force,0.0,0.4,,1.0,4.0,15
28,brute_force,0.1,0.4,,1.0,4.0,14
29,brute_force,0.2,0.4,,1.0,4.0,13
30,brute_force,0.3,0.4,,1.0,4.0,14
31,brute_force,0.4,0.4,,0.0,1.0,35
32,brute_force,0.5,0.4,,0.0,1.0,35
33,brute_force,0.6,0.4,,0.0,1.0,35
34,brute_force,0.7,0.4,,0.0,0.5,35
35,brute_force,0.0,0.5,,1.0,4.0,13
36,brute_force,0.1,0.5,,1.0,4.0,13
37,brute_force,0.2,0.5,,1.0,4.0,13
38,brute_force,0.3,0.5,,1.0,4.0,12
39,brute_force,0.4,0.5,,1.0,4.0,16
40,brute_force,0.5,0.5,,0.0,1.0,35
41,brute_force,0.6,0.5,,0.0,0.5,35
42,brute_force,0.7,0.5,,0.0,0.5,35
43,brute_force,0.8,0.5,,0.0,0.5,35
44,brute_force,0.0,0.6,,1.0,4.0,14
45,brute_force,0.1,0.6,,1.0,4.0,15
46,brute_force,0.2,0.6,,1.0,4.0,14
47,brute_force,0.3,0.6,,1.0,4.0,14
48,brute_force,0.4,0.6,,1.0,4.0,15
49,brute_force,0.5,0.6,,1.0,4.0,17
50,brute_force,0.6,0.6,,1.0,4.0,34
51,brute_force,0.7,0.6,,0.0,1.0,35
52,brute_force,0.8,0.6,,0.0,0.5,35
53,brute_force,0.0,0.7,,1.0,4.0,17
54,brute_force,0.1,0.7,,1.0,4.0,15
55,brute_force,0.2,0.7,,1.0,4.0,16
56,brute_force,0.3,0.7,,1.0,4.0,15
57,brute_force,0.4,0.7,,1.0,4.0,15
58,brute_force,0.5,0.7,,1.0,4.0,19
59,brute_force,0.6,0.7,,1.0,4.0,34
60,brute_force,0.7,0.7,,0.0,0.0,35
61,brute_force,0.8,0.7,,0.0,2.0,35
62,brute_force,0.9,0.7,,0.0,0.5,35
63,brute_force,0.0,0.8,,0.0,1.5,35
64,brute_force,0.1,0.8,,1.0,4.0,16
65,brute_force,0.2,0.8,,1.0,4.0,15
66,brute_force,0.30000000000000004,0.8,,1.0,4.0,15
67,brute_force,0.4,0.8,,1.0,4.0,16
68,brute_force,0.5,0.8,,1.0,4.0,17
69,brute_force,0.6,0.8,,1.0,4.0,20
70,brute_force,0.7,0.8,,1.0,4.0,23
71,brute_force,0.8,0.8,,0.0,2.5,35
72,brute_force,0.9,0.8,,0.0,1.0,35
73,brute_force,1.0,0.8,,0.0,1.0,35
74,brute_force,0.0,0.9,,1.0,4.0,18
75,brute_force,0.1,0.9,,1.0,4.0,18
76,brute_force,0.2,0.9,,1.0,4.0,16
77,brute_force,0.30000000000000004,0.9,,1.0,4.0,15
78,brute_force,0.4,0.9,,1.0,4.0,24
79,brute_force,0.5,0.9,,1.0,4.0,19
80,brute_force,0.6,0.9,,1.0,4.0,33
81,brute_force,0.7,0.9,,1.0,4.0,28
82,brute_force,0.8,0.9,,0.0,1.5,35
83,brute_force,0.9,0.9,,0.0,1.0,35
84,brute_force,1.0,0.9,,0.0,1.0,35
85,brute_force,0.0,1.0,,1.0,4.0,19
86,brute_force,0.1,1.0,,0.0,1.5,35
87,brute_force,0.2,1.0,,0.0,1.5,35
88,brute_force,0.30000000000000004,1.0,,1.0,4.0,17
89,brute_force,0.4,1.0,,1.0,4.0,18
90,brute_force,0.5,1.0,,1.0,4.0,20
91,brute_force,0.6,1.0,,0.0,1.5,35
92,brute_force,0.7,1.0,,1.0,4.0,21
93,brute_force,0.8,1.0,,0.0,1.5,35
94,brute_force,0.9,1.0,,0.0,1.0,35
95,brute_force,1.0,1.0,,0.0,1.0,35
