x,y,table_height,camera_azimuth,camera_elevation,camera_distance,pred_mean,pred_variance
0.1,0.9,1.0,15.0,30.0,103.0,-0.023888733035424714,0.049150287282979786
0.1,0.9,1.0,90.0,70.0,84.0,-0.0013495346145295795,0.05297453492491306
0.1,0.8,1.0,15.0,30.0,103.0,0.09020522758744276,0.05049743242723064
0.2,0.9,1.0,15.0,30.0,103.0,0.0919585840410202,0.051341215684636565
0.1,0.8,1.0,90.0,70.0,84.0,0.1306571660756346,0.05307540407980132
0.2,0.8,1.0,15.0,30.0,103.0,0.2454349017277735,0.051068173958774686
0.1,0.7000000000000001,1.0,15.0,30.0,103.0,0.25852164703797453,0.05111296053672144
0.30000000000000004,0.9,1.0,15.0,30.0,103.0,0.2984953870464371,0.050478785581796595
0.2,0.7000000000000001,1.0,15.0,30.0,103.0,0.4456699799445406,0.051496704190953216
0.1,0.6000000000000001,1.0,15.0,30.0,103.0,0.45997985565044663,0.049653414373185455
0.30000000000000004,0.8,1.0,15.0,30.0,103.0,0.476582035740448,0.05023907887374757
0.1,0.6000000000000001,1.0,90.0,70.0,84.0,0.5379520269144411,0.05242126105621676
0.4,0.9,1.0,15.0,30.0,103.0,0.5699209892244793,0.04676469641891905
0.1,0.5,1.0,-30.0,30.0,102.0,0.6580352821221132,0.05226932204125551
0.1,0.5,1.0,15.0,30.0,103.0,0.66533073486539,0.04817579559694414
