x,y,table_height,camera_azimuth,camera_elevation,camera_distance,pred_mean,pred_variance
0.30000000000000004,0.7000000000000001,2.0,90.0,70.0,84.0,3.36378403075518,0.2205984102425939
0.5,0.7000000000000001,2.0,90.0,70.0,84.0,3.3771436706396414,0.20331932126101845
0.4,0.7000000000000001,2.0,90.0,70.0,84.0,3.388292762740952,0.20606612413873848
0.1,0.6000000000000001,2.0,90.0,70.0,84.0,3.440062424140711,0.21775469811000114
0.30000000000000004,0.6000000000000001,1.0,90.0,70.0,84.0,3.4531323744019633,0.2171413731653972
0.2,0.6000000000000001,2.0,90.0,70.0,84.0,3.5256832407340415,0.20668401619405025
0.2,0.5,1.0,90.0,70.0,84.0,3.549745336384084,0.21112018598326338
0.0,0.5,2.0,90.0,70.0,84.0,3.553954978098037,0.20833393647441728
0.30000000000000004,0.6000000000000001,2.0,90.0,70.0,84.0,3.5919026280063298,0.19134093026113072
0.1,0.4,1.0,90.0,70.0,84.0,3.596596019038471,0.2062795315383054
0.0,0.30000000000000004,1.0,90.0,70.0,84.0,3.6195561943185384,0.21594533495456167
0.30000000000000004,0.5,1.0,90.0,70.0,84.0,3.641967557452097,0.19589689886382058
0.1,0.5,2.0,90.0,70.0,84.0,3.6522769657737038,0.19342782556624427
0.2,0.4,1.0,90.0,70.0,84.0,3.715797083875623,0.19149313979892343
0.1,0.30000000000000004,1.0,90.0,70.0,84.0,3.7374862160617686,0.19099604398708278
0.0,0.2,1.0,90.0,70.0,84.0,3.739061056312904,0.21031183043114604
0.2,0.5,2.0,90.0,70.0,84.0,3.751327657547504,0.185793896216157
