trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
46,active,0.0,1.5,35,0.0,0.2,2.0,90.0,70.0,84.0
91,active,0.0,1.5,35,0.0,0.2,1.0,90.0,70.0,84.0
56,active,0.0,2.0,35,0.0,0.1,2.0,90.0,70.0,84.0
40,active,0.0,2.5,35,0.0,0.7000000000000001,2.0,90.0,70.0,84.0
88,active,0.0,2.5,35,0.0,1.0,3.0,90.0,70.0,84.0
67,active,0.0,3.0,35,0.4,1.0,3.0,90.0,70.0,84.0
5,initial_random,0.0,3.0,35,0.1,0.5,1.0,90.0,70.0,84.0
43,active,0.0,3.5,35,0.4,0.7000000000000001,2.0,90.0,70.0,84.0
82,active,0.0,3.5,35,0.4,0.7000000000000001,1.0,90.0,70.0,84.0
73,active,0.0,3.5,35,0.4,1.0,1.0,90.0,70.0,84.0
29,initial_random,0.0,3.5,35,0.4,0.7000000000000001,3.0,90.0,70.0,84.0
66,active,0.0,4.0,35,0.3,0.1,1.0,90.0,70.0,84.0
75,active,0.0,4.0,35,0.0,0.0,1.0,90.0,70.0,84.0
84,active,0.0,4.0,35,0.1,0.0,1.0,90.0,70.0,84.0
100,active,0.0,4.0,35,0.3,0.1,2.0,90.0,70.0,84.0
59,active,0.0,4.5,35,0.0,0.3,2.0,90.0,70.0,84.0
58,active,0.0,5.5,35,0.5,0.3,2.0,90.0,70.0,84.0
