trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,loaded,0.0,0.0,,0.0,0.0,35
2,loaded,0.1,0.0,,0.0,0.0,35
3,loaded,0.2,0.0,,0.0,0.0,35
4,loaded,0.3,0.0,,0.0,0.0,35
5,loaded,0.4,0.0,,0.0,0.0,35
6,loaded,0.0,0.1,,0.0,0.0,35
7,loaded,0.1,0.1,,0.0,0.5,35
8,loaded,0.2,0.1,,0.0,0.5,35
9,loaded,0.3,0.1,,0.0,0.5,35
10,loaded,0.4,0.1,,0.0,0.5,35
11,loaded,0.5,0.1,,0.0,0.5,35
12,loaded,0.0,0.2,,0.0,0.5,35
13,loaded,0.1,0.2,,0.0,1.0,35
14,loaded,0.2,0.2,,0.0,1.0,35
15,loaded,0.3,0.2,,0.0,1.0,35
16,loaded,0.4,0.2,,0.0,1.0,35
17,loaded,0.5,0.2,,0.0,0.5,35
18,loaded,0.6,0.2,,0.0,0.5,35
19,loaded,0.0,0.3,,0.0,1.0,35
20,loaded,0.1,0.3,,0.0,1.0,35
21,loaded,0.2,0.3,,1.0,4.0,14
22,loaded,0.3,0.3,,1.0,4.0,14
23,loaded,0.4,0.3,,0.0,3.5,35
24,loaded,0.5,0.3,,0.0,0.5,35
25,loaded,0.6,0.3,,0.0,0.5,35
26,loaded,0.7,0.3,,0.0,0.5,35
27,loaded,0.0,0.4,,1.0,4.0,15
28,loaded,0.1,0.4,,1.0,4.0,13
29,loaded,0.2,0.4,,1.0,4.0,13
30,loaded,0.3,0.4,,1.0,4.0,14
31,loaded,0.4,0.4,,1.0,4.0,15
32,loaded,0.5,0.4,,0.0,1.5,35
33,loaded,0.6,0.4,,0.0,0.5,35
34,loaded,0.7,0.4,,0.0,0.5,35
35,loaded,0.0,0.5,,1.0,4.0,13
36,loaded,0.1,0.5,,1.0,4.0,13
37,loaded,0.2,0.5,,1.0,4.0,14
38,loaded,0.3,0.5,,1.0,4.0,15
39,loaded,0.4,0.5,,1.0,4.0,16
40,loaded,0.5,0.5,,0.0,1.0,35
41,loaded,0.6,0.5,,0.0,1.0,35
42,loaded,0.7,0.5,,0.0,1.0,35
43,loaded,0.8,0.5,,0.0,0.5,35
44,loaded,0.0,0.6,,1.0,4.0,19
45,loaded,0.1,0.6,,1.0,4.0,19
46,loaded,0.2,0.6,,1.0,4.0,18
47,loaded,0.3,0.6,,1.0,4.0,19
48,loaded,0.4,0.6,,1.0,4.0,18
49,loaded,0.5,0.6,,0.0,3.5,35
50,loaded,0.6,0.6,,0.0,1.0,35
51,loaded,0.7,0.6,,0.0,1.0,35
52,loaded,0.8,0.6,,0.0,1.0,35
53,loaded,0.0,0.7,,1.0,4.0,20
54,loaded,0.1,0.7,,1.0,4.0,18
55,loaded,0.2,0.7,,1.0,4.0,20
56,loaded,0.3,0.7,,1.0,4.0,19
57,loaded,0.4,0.7,,0.0,3.5,35
58,loaded,0.5,0.7,,0.0,3.5,35
59,loaded,0.6,0.7,,0.0,1.5,35
60,loaded,0.7,0.7,,0.0,1.0,35
61,loaded,0.8,0.7,,0.0,1.0,35
62,loaded,0.9,0.7,,0.0,1.0,35
63,loaded,0.0,0.8,,1.0,4.0,19
64,loaded,0.1,0.8,,1.0,4.0,20
65,loaded,0.2,0.8,,1.0,4.0,20
66,loaded,0.3,0.8,,1.0,4.0,20
67,loaded,0.4,0.8,,1.0,4.0,20
68,loaded,0.5,0.8,,0.0,3.5,35
69,loaded,0.6,0.8,,0.0,2.0,35
70,loaded,0.7,0.8,,0.0,1.0,35
71,loaded,0.8,0.8,,0.0,1.0,35
72,loaded,0.9,0.8,,0.0,1.0,35
73,loaded,1.0,0.8,,0.0,1.0,35
74,loaded,0.0,0.9,,1.0,4.0,22
75,loaded,0.1,0.9,,1.0,4.0,21
76,loaded,0.2,0.9,,1.0,4.0,21
77,loaded,0.3,0.9,,1.0,4.0,21
78,loaded,0.4,0.9,,1.0,4.0,25
79,loaded,0.5,0.9,,0.0,3.5,35
80,loaded,0.6,0.9,,0.0,3.5,35
81,loaded,0.7,0.9,,0.0,1.0,35
82,loaded,0.8,0.9,,0.0,1.0,35
83,loaded,0.9,0.9,,0.0,1.0,35
84,loaded,1.0,0.9,,0.0,1.0,35
85,loaded,0.0,1.0,,1.0,4.0,24
86,loaded,0.1,1.0,,1.0,4.0,21
87,loaded,0.2,1.0,,1.0,4.0,23
88,loaded,0.3,1.0,,1.0,4.0,22
89,loaded,0.4,1.0,,1.0,4.0,23
90,loaded,0.5,1.0,,1.0,4.0,33
91,loaded,0.6,1.0,,0.0,3.0,35
92,loaded,0.7,1.0,,0.0,1.5,35
93,loaded,0.8,1.0,,0.0,1.0,35
94,loaded,0.9,1.0,,0.0,1.0,35
95,loaded,1.0,1.0,,0.0,1.0,35
