trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,initial_random,0.0,1.0,35,0.7000000000000001,0.8,3.0,15.0,30.0,103.0
2,initial_random,1.0,2.0,4,0.4,0.5,1.0,90.0,70.0,84.0
3,initial_random,1.0,2.0,9,0.8,0.5,2.0,90.0,70.0,84.0
4,initial_random,1.0,2.0,6,0.3,0.1,2.0,90.0,70.0,84.0
5,initial_random,0.0,0.0,35,0.0,0.5,1.0,90.0,70.0,84.0
6,initial_random,0.0,0.0,35,0.4,1.0,2.0,-30.0,30.0,102.0
7,initial_random,0.0,1.5,35,0.4,0.1,3.0,15.0,30.0,103.0
8,initial_random,0.0,1.0,35,0.1,0.4,2.0,90.0,70.0,84.0
9,initial_random,1.0,2.0,6,0.2,0.1,2.0,90.0,70.0,84.0
10,initial_random,1.0,2.0,10,0.9,0.8,3.0,90.0,70.0,84.0
11,initial_random,0.0,1.0,35,0.1,0.0,2.0,-30.0,30.0,102.0
12,initial_random,0.0,0.0,35,0.2,0.7000000000000001,2.0,15.0,30.0,103.0
13,initial_random,0.0,0.0,35,0.6000000000000001,1.0,2.0,15.0,30.0,103.0
14,initial_random,0.0,0.0,35,0.2,1.0,3.0,90.0,70.0,84.0
15,initial_random,1.0,2.0,9,0.8,0.6000000000000001,1.0,90.0,70.0,84.0
16,active,1.0,2.0,8,0.9,0.8,2.0,-30.0,30.0,102.0
17,active,0.0,0.0,35,0.0,0.9,2.0,-30.0,30.0,102.0
18,active,1.0,2.0,4,0.4,0.4,2.0,-30.0,30.0,102.0
19,active,0.0,1.5,35,0.1,0.3,2.0,-30.0,30.0,102.0
20,active,0.0,0.5,35,0.9,1.0,2.0,15.0,30.0,103.0
21,active,0.0,1.5,35,0.4,0.8,1.0,90.0,70.0,84.0
22,active,0.0,1.5,35,0.7000000000000001,0.5,2.0,15.0,30.0,103.0
23,active,1.0,2.0,4,0.1,0.2,2.0,15.0,30.0,103.0
24,active,0.0,1.0,35,0.4,0.7000000000000001,2.0,-30.0,30.0,102.0
25,active,0.0,1.5,35,0.6000000000000001,1.0,2.0,90.0,70.0,84.0
26,active,0.0,0.0,35,0.2,0.9,2.0,15.0,30.0,103.0
27,active,1.0,2.0,4,0.4,0.5,2.0,15.0,30.0,103.0
28,active,0.0,0.0,35,0.1,0.8,2.0,90.0,70.0,84.0
29,active,0.0,0.0,35,0.0,0.5,2.0,-30.0,30.0,102.0
30,active,1.0,2.0,7,0.5,0.6000000000000001,3.0,90.0,70.0,84.0
31,active,0.0,1.5,35,0.9,0.6000000000000001,2.0,15.0,30.0,103.0
32,active,1.0,2.0,6,0.5,0.3,2.0,90.0,70.0,84.0
33,active,0.0,1.0,35,0.9,1.0,2.0,90.0,70.0,84.0
34,active,0.0,0.5,35,0.0,0.1,2.0,90.0,70.0,84.0
35,active,0.0,1.0,35,1.0,0.9,2.0,15.0,30.0,103.0
36,active,0.0,1.5,35,0.0,0.2,2.0,-30.0,30.0,102.0
37,active,1.0,2.0,6,0.6000000000000001,0.7000000000000001,1.0,-30.0,30.0,102.0
38,active,1.0,2.0,3,0.3,0.3,1.0,-30.0,30.0,102.0
39,active,0.0,0.0,35,0.2,0.7000000000000001,3.0,90.0,70.0,84.0
40,active,0.0,0.0,35,0.2,0.8,3.0,15.0,30.0,103.0
41,active,0.0,1.0,35,0.8,0.8,1.0,15.0,30.0,103.0
42,active,0.0,1.0,35,0.7000000000000001,1.0,2.0,-30.0,30.0,102.0
43,active,0.0,0.0,35,0.2,0.7000000000000001,2.0,-30.0,30.0,102.0
44,active,1.0,2.0,7,0.7000000000000001,0.5,3.0,-30.0,30.0,102.0
45,active,0.0,1.5,35,1.0,0.7000000000000001,2.0,90.0,70.0,84.0
46,active,0.0,0.0,35,0.0,0.7000000000000001,2.0,15.0,30.0,103.0
47,active,0.0,1.0,35,0.1,0.4,3.0,15.0,30.0,103.0
48,active,1.0,2.0,5,0.5,0.3,2.0,15.0,30.0,103.0
49,active,0.0,0.0,35,0.4,0.8,1.0,15.0,30.0,103.0
50,active,1.0,2.0,6,0.3,0.2,3.0,-30.0,30.0,102.0
