trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,iid,0.30000000000000004,0.9,,1.0,4.0,26
2,iid,1.0,1.0,,0.0,1.0,35
3,iid,0.6,0.9,,1.0,4.0,26
4,iid,0.7,0.9,,0.0,2.0,35
5,iid,0.5,0.6,,1.0,4.0,17
6,iid,0.6,0.7,,1.0,4.0,27
7,iid,0.5,0.30000000000000004,,0.0,1.0,35
8,iid,0.8,1.0,,0.0,1.0,35
9,iid,0.6,0.4,,0.0,1.0,35
10,iid,0.8,1.0,,0.0,1.0,35
11,iid,0.0,0.7,,1.0,4.0,16
12,iid,0.2,0.0,,0.0,0.0,35
13,iid,0.8,0.9,,0.0,1.0,35
14,iid,0.1,1.0,,0.0,0.0,35
15,iid,0.4,0.9,,1.0,4.0,16
16,iid,0.1,0.7,,1.0,4.0,15
17,iid,0.1,0.30000000000000004,,1.0,4.0,19
18,iid,0.30000000000000004,0.8,,1.0,4.0,16
19,iid,0.5,1.0,,1.0,4.0,18
20,iid,0.8,0.7,,0.0,1.0,35
21,iid,0.5,0.2,,0.0,0.5,35
22,iid,0.5,0.5,,0.0,1.5,35
23,iid,0.0,0.6,,1.0,4.0,14
24,iid,0.4,0.4,,0.0,1.0,35
25,iid,0.2,0.2,,0.0,1.0,35
26,iid,0.2,0.4,,1.0,4.0,15
27,iid,0.1,0.0,,0.0,0.0,35
28,iid,0.4,0.8,,1.0,4.0,16
29,iid,0.2,0.5,,1.0,4.0,13
30,iid,0.7,0.8,,1.0,4.0,19
