trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance,lid_x,lid_y,lid_on
1,brute_force,0.0,0.0,35,0.0,0.0,1.0,90.0,70.0,84.0,0.8,1.0,False
2,brute_force,0.0,1.0,35,0.0,0.1,1.0,90.0,70.0,84.0,0.2,1.0,False
3,brute_force,0.0,1.0,35,0.0,0.2,1.0,90.0,70.0,84.0,0.5,0.5,True
4,brute_force,0.0,1.0,35,0.0,0.3,1.0,90.0,70.0,84.0,0.5,0.5,True
5,brute_force,0.0,0.0,35,0.0,0.4,1.0,90.0,70.0,84.0,1.0,0.8,False
6,brute_force,0.0,1.0,35,0.0,0.5,1.0,90.0,70.0,84.0,0.5,0.5,True
7,brute_force,0.0,1.0,35,0.0,0.6000000000000001,1.0,90.0,70.0,84.0,0.5,0.5,True
8,brute_force,0.0,1.5,35,0.0,0.7000000000000001,1.0,90.0,70.0,84.0,0.5,0.5,True
9,brute_force,0.0,0.0,35,0.0,0.8,1.0,90.0,70.0,84.0,0.0,0.6000000000000001,False
10,brute_force,0.0,0.0,35,0.0,0.9,1.0,90.0,70.0,84.0,0.4,0.2,False
11,brute_force,0.0,0.0,35,0.0,1.0,1.0,90.0,70.0,84.0,0.4,0.8,False
12,brute_force,0.0,0.0,35,0.1,0.0,1.0,90.0,70.0,84.0,0.4,1.0,False
13,brute_force,0.0,1.5,35,0.1,0.1,1.0,90.0,70.0,84.0,0.4,0.8,False
14,brute_force,0.0,1.0,35,0.1,0.2,1.0,90.0,70.0,84.0,0.5,0.5,True
15,brute_force,0.0,1.5,35,0.1,0.3,1.0,90.0,70.0,84.0,0.0,1.0,False
16,brute_force,0.0,1.0,35,0.1,0.4,1.0,90.0,70.0,84.0,0.5,0.5,True
17,brute_force,1.0,3.0,10,0.1,0.5,1.0,90.0,70.0,84.0,0.6000000000000001,1.0,False
18,brute_force,0.0,1.0,35,0.1,0.6000000000000001,1.0,90.0,70.0,84.0,0.5,0.5,True
19,brute_force,0.0,0.0,35,0.1,0.7000000000000001,1.0,90.0,70.0,84.0,0.0,1.0,False
20,brute_force,0.0,0.0,35,0.1,0.8,1.0,90.0,70.0,84.0,0.0,0.4,False
21,brute_force,0.0,0.0,35,0.1,0.9,1.0,90.0,70.0,84.0,0.2,0.4,False
22,brute_force,0.0,1.0,35,0.1,1.0,1.0,90.0,70.0,84.0,0.5,0.5,True
23,brute_force,0.0,1.0,35,0.2,0.0,1.0,90.0,70.0,84.0,0.5,0.5,True
24,brute_force,0.0,1.0,35,0.2,0.1,1.0,90.0,70.0,84.0,0.5,0.5,True
25,brute_force,1.0,3.0,9,0.2,0.2,1.0,90.0,70.0,84.0,0.0,0.4,False
26,brute_force,0.0,1.0,35,0.2,0.30000000000000004,1.0,90.0,70.0,84.0,0.5,0.5,True
