trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,brute_force,0.0,2.5,35,0.0,0.0,3.0,-30.0,30.0,102.0
2,brute_force,1.0,6.0,18,0.0,0.1,3.0,-30.0,30.0,102.0
3,brute_force,1.0,6.0,18,0.0,0.2,3.0,-30.0,30.0,102.0
4,brute_force,0.0,2.0,35,0.0,0.3,3.0,-30.0,30.0,102.0
5,brute_force,0.0,4.0,35,0.0,0.4,3.0,-30.0,30.0,102.0
6,brute_force,1.0,6.0,26,0.0,0.5,3.0,-30.0,30.0,102.0
7,brute_force,1.0,6.0,34,0.0,0.6000000000000001,3.0,-30.0,30.0,102.0
8,brute_force,0.0,2.5,35,0.0,0.7000000000000001,3.0,-30.0,30.0,102.0
9,brute_force,0.0,2.5,35,0.0,0.8,3.0,-30.0,30.0,102.0
10,brute_force,0.0,2.5,35,0.0,0.9,3.0,-30.0,30.0,102.0
11,brute_force,0.0,2.5,35,0.0,1.0,3.0,-30.0,30.0,102.0
12,brute_force,1.0,6.0,20,0.1,0.0,3.0,-30.0,30.0,102.0
13,brute_force,1.0,6.0,24,0.1,0.1,3.0,-30.0,30.0,102.0
14,brute_force,1.0,6.0,26,0.1,0.2,3.0,-30.0,30.0,102.0
15,brute_force,0.0,2.0,35,0.1,0.3,3.0,-30.0,30.0,102.0
16,brute_force,0.0,2.5,35,0.1,0.4,3.0,-30.0,30.0,102.0
17,brute_force,1.0,6.0,32,0.1,0.5,3.0,-30.0,30.0,102.0
18,brute_force,1.0,6.0,31,0.1,0.6000000000000001,3.0,-30.0,30.0,102.0
19,brute_force,0.0,4.5,35,0.1,0.7000000000000001,3.0,-30.0,30.0,102.0
20,brute_force,0.0,4.0,35,0.1,0.8,3.0,-30.0,30.0,102.0
21,brute_force,0.0,2.0,35,0.1,0.9,3.0,-30.0,30.0,102.0
22,brute_force,0.0,2.5,35,0.1,1.0,3.0,-30.0,30.0,102.0
23,brute_force,1.0,6.0,20,0.2,0.0,3.0,-30.0,30.0,102.0
24,brute_force,1.0,6.0,18,0.2,0.1,3.0,-30.0,30.0,102.0
25,brute_force,1.0,6.0,17,0.2,0.2,3.0,-30.0,30.0,102.0
26,brute_force,1.0,6.0,34,0.2,0.3,3.0,-30.0,30.0,102.0
27,brute_force,1.0,6.0,17,0.2,0.4,3.0,-30.0,30.0,102.0
28,brute_force,1.0,6.0,19,0.2,0.5,3.0,-30.0,30.0,102.0
29,brute_force,1.0,6.0,23,0.2,0.6000000000000001,3.0,-30.0,30.0,102.0
30,brute_force,0.0,4.0,35,0.2,0.7000000000000001,3.0,-30.0,30.0,102.0
31,brute_force,1.0,6.0,27,0.2,0.8,3.0,-30.0,30.0,102.0
32,brute_force,0.0,4.0,35,0.2,0.9,3.0,-30.0,30.0,102.0
33,brute_force,0.0,2.5,35,0.2,1.0,3.0,-30.0,30.0,102.0
34,brute_force,1.0,6.0,17,0.3,0.1,3.0,-30.0,30.0,102.0
35,brute_force,1.0,6.0,17,0.3,0.2,3.0,-30.0,30.0,102.0
36,brute_force,1.0,6.0,17,0.3,0.3,3.0,-30.0,30.0,102.0
37,brute_force,0.0,2.0,35,0.3,0.4,3.0,-30.0,30.0,102.0
38,brute_force,0.0,2.0,35,0.3,0.5,3.0,-30.0,30.0,102.0
39,brute_force,1.0,6.0,32,0.3,0.6000000000000001,3.0,-30.0,30.0,102.0
40,brute_force,1.0,6.0,19,0.3,0.7000000000000001,3.0,-30.0,30.0,102.0
41,brute_force,1.0,6.0,19,0.3,0.8,3.0,-30.0,30.0,102.0
42,brute_force,1.0,6.0,20,0.3,0.9,3.0,-30.0,30.0,102.0
43,brute_force,0.0,4.0,35,0.3,1.0,3.0,-30.0,30.0,102.0
44,brute_force,0.0,4.0,35,0.4,0.1,3.0,-30.0,30.0,102.0
45,brute_force,1.0,6.0,18,0.4,0.2,3.0,-30.0,30.0,102.0
46,brute_force,0.0,1.5,35,0.4,0.30000000000000004,3.0,-30.0,30.0,102.0
47,brute_force,1.0,6.0,18,0.4,0.7000000000000001,3.0,-30.0,30.0,102.0
48,brute_force,1.0,6.0,19,0.4,0.8,3.0,-30.0,30.0,102.0
49,brute_force,1.0,6.0,28,0.4,0.9,3.0,-30.0,30.0,102.0
50,brute_force,0.0,4.0,35,0.4,1.0,3.0,-30.0,30.0,102.0
51,brute_force,1.0,6.0,19,0.5,0.2,3.0,-30.0,30.0,102.0
52,brute_force,0.0,1.5,35,0.5,0.30000000000000004,3.0,-30.0,30.0,102.0
53,brute_force,1.0,6.0,20,0.5,0.7000000000000001,3.0,-30.0,30.0,102.0
54,brute_force,1.0,6.0,20,0.5,0.8,3.0,-30.0,30.0,102.0
55,brute_force,1.0,6.0,20,0.5,0.9,3.0,-30.0,30.0,102.0
56,brute_force,0.0,4.0,35,0.5,1.0,3.0,-30.0,30.0,102.0
