trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,iid,0.0,4.0,35,0.6000000000000001,0.9,3.0,90.0,70.0,84.0
2,iid,0.0,1.5,35,0.0,0.1,2.0,-30.0,30.0,102.0
3,iid,0.0,4.0,35,0.7000000000000001,0.9,3.0,90.0,70.0,84.0
4,iid,0.0,1.0,35,0.0,0.6000000000000001,1.0,-30.0,30.0,102.0
5,iid,0.0,1.5,35,1.0,0.8,2.0,-30.0,30.0,102.0
6,iid,0.0,2.5,35,0.5,1.0,2.0,15.0,30.0,103.0
7,iid,0.0,1.5,35,0.0,0.9,2.0,-30.0,30.0,102.0
8,iid,0.0,2.5,35,0.7000000000000001,0.6000000000000001,3.0,15.0,30.0,103.0
9,iid,0.0,1.0,35,0.4,0.3,1.0,15.0,30.0,103.0
10,iid,0.0,2.5,35,0.2,0.7000000000000001,3.0,15.0,30.0,103.0
11,iid,1.0,6.0,21,0.0,0.0,3.0,-30.0,30.0,102.0
12,iid,0.0,1.5,35,0.0,0.2,2.0,90.0,70.0,84.0
13,iid,0.0,1.5,35,0.8,0.9,2.0,90.0,70.0,84.0
14,iid,1.0,6.0,17,0.8,0.9,3.0,90.0,70.0,84.0
15,iid,1.0,6.0,19,0.7000000000000001,0.5,3.0,90.0,70.0,84.0
16,iid,0.0,4.0,35,0.4,0.1,3.0,-30.0,30.0,102.0
17,iid,0.0,1.5,35,0.7000000000000001,0.7000000000000001,1.0,15.0,30.0,103.0
18,iid,0.0,1.5,35,0.1,0.2,2.0,-30.0,30.0,102.0
19,iid,0.0,1.0,35,0.4,1.0,1.0,-30.0,30.0,102.0
20,iid,0.0,1.5,35,0.7000000000000001,0.6000000000000001,2.0,90.0,70.0,84.0
21,iid,0.0,4.0,35,1.0,0.6000000000000001,3.0,90.0,70.0,84.0
22,iid,0.0,4.0,35,0.3,0.7000000000000001,1.0,90.0,70.0,84.0
23,iid,0.0,4.0,35,0.2,0.4,1.0,90.0,70.0,84.0
24,iid,0.0,1.5,35,0.0,1.0,2.0,-30.0,30.0,102.0
25,iid,1.0,6.0,19,0.0,0.0,2.0,15.0,30.0,103.0
26,iid,0.0,1.5,35,0.0,0.2,2.0,-30.0,30.0,102.0
27,iid,1.0,6.0,18,0.3,0.1,2.0,15.0,30.0,103.0
28,iid,0.0,1.0,35,0.1,1.0,1.0,-30.0,30.0,102.0
29,iid,0.0,1.5,35,0.2,0.4,2.0,90.0,70.0,84.0
30,iid,0.0,1.0,35,0.5,0.9,1.0,-30.0,30.0,102.0
31,iid,0.0,4.5,35,0.0,0.3,2.0,90.0,70.0,84.0
32,iid,1.0,6.0,16,0.7000000000000001,0.6000000000000001,2.0,15.0,30.0,103.0
33,iid,0.0,1.0,35,0.6000000000000001,0.7000000000000001,1.0,-30.0,30.0,102.0
34,iid,0.0,1.5,35,0.5,0.3,1.0,15.0,30.0,103.0
35,iid,0.0,1.5,35,0.3,1.0,1.0,90.0,70.0,84.0
36,iid,1.0,6.0,18,0.0,0.2,3.0,90.0,70.0,84.0
37,iid,0.0,2.5,35,0.8,0.5,2.0,15.0,30.0,103.0
38,iid,0.0,2.5,35,0.3,0.9,2.0,15.0,30.0,103.0
39,iid,0.0,1.0,35,0.2,0.2,1.0,-30.0,30.0,102.0
40,iid,0.0,3.5,35,0.1,0.6000000000000001,3.0,-30.0,30.0,102.0
41,iid,0.0,2.0,35,0.1,0.7000000000000001,2.0,-30.0,30.0,102.0
42,iid,0.0,2.5,35,0.1,1.0,1.0,90.0,70.0,84.0
43,iid,0.0,2.5,35,0.1,0.8,3.0,90.0,70.0,84.0
44,iid,0.0,1.5,35,0.3,0.4,2.0,15.0,30.0,103.0
45,iid,0.0,1.0,35,0.3,0.4,3.0,15.0,30.0,103.0
46,iid,1.0,6.0,18,0.7000000000000001,0.5,3.0,-30.0,30.0,102.0
47,iid,1.0,6.0,18,0.9,0.7000000000000001,3.0,-30.0,30.0,102.0
48,iid,0.0,1.5,35,0.9,0.6000000000000001,2.0,-30.0,30.0,102.0
49,iid,0.0,3.5,35,0.7000000000000001,0.8,2.0,15.0,30.0,103.0
50,iid,0.0,3.5,35,0.0,0.6000000000000001,1.0,90.0,70.0,84.0
51,iid,0.0,3.5,35,0.4,0.8,2.0,90.0,70.0,84.0
52,iid,0.0,3.5,35,0.6000000000000001,0.7000000000000001,3.0,90.0,70.0,84.0
53,iid,0.0,1.0,35,0.2,0.1,1.0,-30.0,30.0,102.0
54,iid,0.0,2.5,35,0.4,0.8,2.0,-30.0,30.0,102.0
55,iid,0.0,2.5,35,0.2,0.3,3.0,15.0,30.0,103.0
56,iid,0.0,1.5,35,0.8,0.6000000000000001,1.0,15.0,30.0,103.0
57,iid,0.0,2.5,35,0.1,0.4,2.0,15.0,30.0,103.0
58,iid,0.0,1.0,35,0.3,1.0,1.0,-30.0,30.0,102.0
59,iid,0.0,2.5,35,0.1,0.8,2.0,-30.0,30.0,102.0
60,iid,0.0,2.5,35,0.1,1.0,3.0,15.0,30.0,103.0
61,iid,0.0,3.5,35,0.1,0.6000000000000001,3.0,15.0,30.0,103.0
62,iid,0.0,1.5,35,0.0,0.9,1.0,15.0,30.0,103.0
63,iid,0.0,1.5,35,0.8,0.5,2.0,-30.0,30.0,102.0
64,iid,0.0,1.0,35,0.2,0.3,1.0,-30.0,30.0,102.0
65,iid,0.0,2.0,35,0.3,0.7000000000000001,2.0,90.0,70.0,84.0
66,iid,0.0,3.5,35,0.3,0.8,1.0,90.0,70.0,84.0
67,iid,0.0,3.0,35,0.4,1.0,3.0,-30.0,30.0,102.0
68,iid,0.0,3.5,35,0.0,0.6000000000000001,2.0,90.0,70.0,84.0
69,iid,0.0,2.5,35,0.3,0.5,2.0,15.0,30.0,103.0
70,iid,0.0,1.0,35,0.1,0.1,1.0,15.0,30.0,103.0
71,iid,0.0,1.0,35,0.2,0.4,1.0,-30.0,30.0,102.0
72,iid,0.0,3.5,35,0.1,0.4,3.0,90.0,70.0,84.0
73,iid,1.0,6.0,19,0.9,1.0,3.0,-30.0,30.0,102.0
74,iid,0.0,1.0,35,0.6000000000000001,1.0,1.0,-30.0,30.0,102.0
75,iid,0.0,1.0,35,0.3,0.3,1.0,15.0,30.0,103.0
76,iid,0.0,4.0,35,0.1,0.1,3.0,-30.0,30.0,102.0
77,iid,0.0,1.5,35,0.2,0.1,2.0,90.0,70.0,84.0
78,iid,0.0,1.5,35,0.9,0.9,1.0,90.0,70.0,84.0
79,iid,0.0,1.5,35,0.0,0.7000000000000001,2.0,-30.0,30.0,102.0
80,iid,0.0,1.5,35,0.1,0.7000000000000001,1.0,15.0,30.0,103.0
81,iid,0.0,1.5,35,0.2,0.4,1.0,15.0,30.0,103.0
82,iid,0.0,3.5,35,0.5,0.7000000000000001,1.0,90.0,70.0,84.0
83,iid,0.0,3.5,35,0.9,0.9,3.0,15.0,30.0,103.0
84,iid,0.0,2.5,35,0.3,0.8,2.0,90.0,70.0,84.0
85,iid,0.0,2.5,35,0.8,0.7000000000000001,2.0,15.0,30.0,103.0
86,iid,0.0,3.5,35,0.6000000000000001,1.0,3.0,-30.0,30.0,102.0
87,iid,0.0,4.0,35,0.7000000000000001,0.8,1.0,15.0,30.0,103.0
88,iid,1.0,6.0,19,0.0,0.0,3.0,90.0,70.0,84.0
89,iid,1.0,6.0,21,1.0,1.0,3.0,-30.0,30.0,102.0
