trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,initial_random,0.1,0.4,,1.0,4.0,16
2,initial_random,0.1,0.6,,1.0,4.0,14
3,initial_random,0.0,0.5,,1.0,4.0,14
4,initial_random,0.1,0.1,,0.0,0.5,35
5,initial_random,0.0,0.6,,1.0,4.0,15
6,initial_random,0.4,0.7,,1.0,4.0,16
7,initial_random,0.0,0.7,,1.0,4.0,17
8,initial_random,0.9,0.8,,0.0,1.0,35
9,initial_random,0.5,0.30000000000000004,,0.0,1.0,35
10,initial_random,0.5,0.6,,1.0,4.0,16
11,active,0.9,0.7,,0.0,1.0,35
12,active,0.5,0.6,,1.0,4.0,15
13,active,0.1,0.4,,1.0,4.0,15
14,active,0.1,0.6,,1.0,4.0,14
15,active,0.1,0.4,,1.0,4.0,15
16,active,0.5,0.7,,1.0,4.0,16
17,active,0.1,0.0,,0.0,0.0,35
18,active,0.8,0.7,,0.0,1.0,35
19,active,0.1,0.1,,0.0,0.5,35
20,active,0.6,0.7,,0.0,1.0,35
21,active,0.7,0.7,,1.0,4.0,35
22,active,0.2,0.0,,0.0,0.0,35
23,active,0.6,0.7,,1.0,4.0,19
24,active,0.30000000000000004,1.0,,0.0,1.5,35
25,active,0.9,0.7,,0.0,1.0,35
26,active,0.0,1.0,,1.0,4.0,27
27,active,1.0,1.0,,0.0,1.0,35
28,active,0.8,0.5,,0.0,1.0,35
29,active,0.30000000000000004,1.0,,0.0,1.5,35
30,active,0.4,0.0,,0.0,0.0,35
31,active,0.6,1.0,,1.0,4.0,26
32,active,0.6,1.0,,1.0,4.0,26
33,active,0.30000000000000004,1.0,,0.0,1.5,35
34,active,0.30000000000000004,0.6,,1.0,4.0,15
35,active,0.30000000000000004,0.2,,0.0,1.0,35
36,active,0.30000000000000004,1.0,,1.0,4.0,27
37,active,0.6,1.0,,1.0,4.0,28
38,active,0.6,1.0,,1.0,4.0,27
39,active,0.30000000000000004,1.0,,0.0,1.5,35
40,active,0.0,1.0,,1.0,4.0,19
