trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,brute_force,0.0,0.5,35,0.0,0.0,1.0,90.0,70.0,84.0
2,brute_force,0.0,1.0,35,0.0,0.1,1.0,90.0,70.0,84.0
3,brute_force,0.0,1.0,35,0.0,0.2,1.0,90.0,70.0,84.0
4,brute_force,0.0,1.0,35,0.0,0.3,1.0,90.0,70.0,84.0
5,brute_force,0.0,1.0,35,0.0,0.4,1.0,90.0,70.0,84.0
6,brute_force,0.0,1.0,35,0.0,0.5,1.0,90.0,70.0,84.0
7,brute_force,0.0,0.5,35,0.0,0.6000000000000001,1.0,90.0,70.0,84.0
8,brute_force,0.0,0.0,35,0.0,0.7000000000000001,1.0,90.0,70.0,84.0
9,brute_force,0.0,0.0,35,0.0,0.8,1.0,90.0,70.0,84.0
10,brute_force,0.0,0.0,35,0.0,0.9,1.0,90.0,70.0,84.0
11,brute_force,0.0,0.0,35,0.0,1.0,1.0,90.0,70.0,84.0
12,brute_force,0.0,1.0,35,0.1,0.0,1.0,90.0,70.0,84.0
13,brute_force,0.0,1.5,35,0.1,0.1,1.0,90.0,70.0,84.0
14,brute_force,0.0,1.5,35,0.1,0.2,1.0,90.0,70.0,84.0
15,brute_force,0.0,1.5,35,0.1,0.3,1.0,90.0,70.0,84.0
16,brute_force,0.0,1.5,35,0.1,0.4,1.0,90.0,70.0,84.0
17,brute_force,0.0,1.5,35,0.1,0.5,1.0,90.0,70.0,84.0
18,brute_force,0.0,1.0,35,0.1,0.6000000000000001,1.0,90.0,70.0,84.0
19,brute_force,0.0,0.5,35,0.1,0.7000000000000001,1.0,90.0,70.0,84.0
20,brute_force,0.0,0.0,35,0.1,0.8,1.0,90.0,70.0,84.0
21,brute_force,0.0,0.0,35,0.1,0.9,1.0,90.0,70.0,84.0
22,brute_force,0.0,0.0,35,0.1,1.0,1.0,90.0,70.0,84.0
24,brute_force,0.0,1.5,35,0.2,0.1,1.0,90.0,70.0,84.0
25,brute_force,0.0,1.5,35,0.2,0.2,1.0,90.0,70.0,84.0
26,brute_force,0.0,1.0,35,0.2,0.3,1.0,90.0,70.0,84.0
27,brute_force,0.0,1.0,35,0.2,0.4,1.0,90.0,70.0,84.0
28,brute_force,0.0,1.0,35,0.2,0.5,1.0,90.0,70.0,84.0
29,brute_force,0.0,1.0,35,0.2,0.6000000000000001,1.0,90.0,70.0,84.0
30,brute_force,0.0,0.5,35,0.2,0.7000000000000001,1.0,90.0,70.0,84.0
31,brute_force,0.0,0.5,35,0.2,0.8,1.0,90.0,70.0,84.0
32,brute_force,0.0,0.5,35,0.2,0.9,1.0,90.0,70.0,84.0
33,brute_force,0.0,0.0,35,0.2,1.0,1.0,90.0,70.0,84.0
34,brute_force,0.0,1.5,35,0.3,0.1,1.0,90.0,70.0,84.0
35,brute_force,0.0,1.5,35,0.3,0.2,1.0,90.0,70.0,84.0
36,brute_force,0.0,1.5,35,0.3,0.3,1.0,90.0,70.0,84.0
37,brute_force,0.0,1.5,35,0.3,0.4,1.0,90.0,70.0,84.0
38,brute_force,0.0,1.0,35,0.3,0.5,1.0,90.0,70.0,84.0
39,brute_force,0.0,1.0,35,0.3,0.6000000000000001,1.0,90.0,70.0,84.0
