trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,brute_force,0.0,1.0,35,0.0,0.5,1.0,-30.0,30.0,102.0
2,brute_force,0.0,1.0,35,0.0,0.6000000000000001,1.0,-30.0,30.0,102.0
3,brute_force,0.0,1.0,35,0.0,0.7000000000000001,1.0,-30.0,30.0,102.0
4,brute_force,0.0,0.5,35,0.0,0.8,1.0,-30.0,30.0,102.0
5,brute_force,0.0,0.0,35,0.0,0.9,1.0,-30.0,30.0,102.0
6,brute_force,0.0,0.0,35,0.0,1.0,1.0,-30.0,30.0,102.0
7,brute_force,0.0,1.0,35,0.1,0.5,1.0,-30.0,30.0,102.0
8,brute_force,0.0,1.0,35,0.1,0.6000000000000001,1.0,-30.0,30.0,102.0
9,brute_force,0.0,1.0,35,0.1,0.7000000000000001,1.0,-30.0,30.0,102.0
10,brute_force,0.0,0.5,35,0.1,0.8,1.0,-30.0,30.0,102.0
11,brute_force,0.0,0.5,35,0.1,0.9,1.0,-30.0,30.0,102.0
12,brute_force,0.0,0.5,35,0.1,1.0,1.0,-30.0,30.0,102.0
13,brute_force,0.0,1.0,35,0.2,0.5,1.0,-30.0,30.0,102.0
14,brute_force,0.0,1.0,35,0.2,0.6000000000000001,1.0,-30.0,30.0,102.0
15,brute_force,0.0,1.0,35,0.2,0.7000000000000001,1.0,-30.0,30.0,102.0
16,brute_force,0.0,1.0,35,0.2,0.8,1.0,-30.0,30.0,102.0
17,brute_force,0.0,1.0,35,0.2,0.9,1.0,-30.0,30.0,102.0
18,brute_force,0.0,0.5,35,0.2,1.0,1.0,-30.0,30.0,102.0
19,brute_force,0.0,1.0,35,0.3,0.5,1.0,-30.0,30.0,102.0
20,brute_force,0.0,1.0,35,0.3,0.6000000000000001,1.0,-30.0,30.0,102.0
21,brute_force,0.0,1.0,35,0.3,0.7000000000000001,1.0,-30.0,30.0,102.0
22,brute_force,0.0,1.0,35,0.3,0.8,1.0,-30.0,30.0,102.0
23,brute_force,0.0,1.0,35,0.3,0.9,1.0,-30.0,30.0,102.0
24,brute_force,0.0,1.0,35,0.3,1.0,1.0,-30.0,30.0,102.0
25,brute_force,0.0,1.0,35,0.4,0.5,1.0,-30.0,30.0,102.0
26,brute_force,0.0,1.0,35,0.4,0.6000000000000001,1.0,-30.0,30.0,102.0
27,brute_force,0.0,1.0,35,0.4,0.7000000000000001,1.0,-30.0,30.0,102.0
28,brute_force,0.0,1.0,35,0.4,0.8,1.0,-30.0,30.0,102.0
29,brute_force,0.0,1.0,35,0.4,0.9,1.0,-30.0,30.0,102.0
30,brute_force,0.0,1.0,35,0.4,1.0,1.0,-30.0,30.0,102.0
31,brute_force,0.0,1.5,35,0.5,0.5,1.0,-30.0,30.0,102.0
32,brute_force,0.0,1.0,35,0.5,0.6000000000000001,1.0,-30.0,30.0,102.0
33,brute_force,0.0,1.0,35,0.5,0.7000000000000001,1.0,-30.0,30.0,102.0
34,brute_force,0.0,1.0,35,0.5,0.8,1.0,-30.0,30.0,102.0
35,brute_force,0.0,1.0,35,0.5,0.9,1.0,-30.0,30.0,102.0
36,brute_force,0.0,1.0,35,0.5,1.0,1.0,-30.0,30.0,102.0
37,brute_force,0.0,1.0,35,0.0,0.5,1.0,15.0,30.0,103.0
38,brute_force,0.0,1.0,35,0.0,0.6000000000000001,1.0,15.0,30.0,103.0
39,brute_force,0.0,1.0,35,0.0,0.7000000000000001,1.0,15.0,30.0,103.0
40,brute_force,0.0,1.0,35,0.0,0.8,1.0,15.0,30.0,103.0
41,brute_force,0.0,1.0,35,0.0,0.9,1.0,15.0,30.0,103.0
42,brute_force,0.0,1.0,35,0.0,1.0,1.0,15.0,30.0,103.0
43,brute_force,0.0,1.0,35,0.1,0.5,1.0,15.0,30.0,103.0
44,brute_force,0.0,1.0,35,0.1,0.6000000000000001,1.0,15.0,30.0,103.0
45,brute_force,0.0,1.0,35,0.1,0.7000000000000001,1.0,15.0,30.0,103.0
46,brute_force,0.0,1.0,35,0.1,0.8,1.0,15.0,30.0,103.0
47,brute_force,0.0,0.5,35,0.1,0.9,1.0,15.0,30.0,103.0
48,brute_force,0.0,1.0,35,0.1,1.0,1.0,15.0,30.0,103.0
49,brute_force,0.0,1.0,35,0.2,0.5,1.0,15.0,30.0,103.0
50,brute_force,0.0,1.0,35,0.2,0.6000000000000001,1.0,15.0,30.0,103.0
51,brute_force,0.0,1.0,35,0.2,0.7000000000000001,1.0,15.0,30.0,103.0
52,brute_force,0.0,1.0,35,0.2,0.8,1.0,15.0,30.0,103.0
53,brute_force,0.0,1.0,35,0.2,0.9,1.0,15.0,30.0,103.0
54,brute_force,0.0,1.0,35,0.2,1.0,1.0,15.0,30.0,103.0
55,brute_force,0.0,1.0,35,0.3,0.5,1.0,15.0,30.0,103.0
56,brute_force,0.0,1.0,35,0.3,0.6000000000000001,1.0,15.0,30.0,103.0
57,brute_force,0.0,1.0,35,0.3,0.7000000000000001,1.0,15.0,30.0,103.0
58,brute_force,0.0,1.0,35,0.3,0.8,1.0,15.0,30.0,103.0
59,brute_force,0.0,1.0,35,0.3,0.9,1.0,15.0,30.0,103.0
60,brute_force,0.0,1.0,35,0.3,1.0,1.0,15.0,30.0,103.0
61,brute_force,0.0,1.0,35,0.4,0.5,1.0,15.0,30.0,103.0
62,brute_force,0.0,1.0,35,0.4,0.6000000000000001,1.0,15.0,30.0,103.0
63,brute_force,0.0,1.0,35,0.4,0.7000000000000001,1.0,15.0,30.0,103.0
64,brute_force,0.0,1.0,35,0.4,0.8,1.0,15.0,30.0,103.0
65,brute_force,0.0,1.0,35,0.4,0.9,1.0,15.0,30.0,103.0
66,brute_force,0.0,1.0,35,0.4,1.0,1.0,15.0,30.0,103.0
67,brute_force,0.0,1.0,35,0.5,0.5,1.0,15.0,30.0,103.0
68,brute_force,0.0,1.0,35,0.5,0.6000000000000001,1.0,15.0,30.0,103.0
69,brute_force,0.0,1.0,35,0.5,0.7000000000000001,1.0,15.0,30.0,103.0
70,brute_force,0.0,1.0,35,0.5,0.8,1.0,15.0,30.0,103.0
71,brute_force,0.0,1.0,35,0.5,0.9,1.0,15.0,30.0,103.0
72,brute_force,0.0,1.0,35,0.5,1.0,1.0,15.0,30.0,103.0
73,brute_force,0.0,1.5,35,0.0,0.5,1.0,90.0,70.0,84.0
74,brute_force,0.0,1.0,35,0.0,0.6000000000000001,1.0,90.0,70.0,84.0
75,brute_force,0.0,1.0,35,0.0,0.7000000000000001,1.0,90.0,70.0,84.0
76,brute_force,0.0,1.0,35,0.0,0.8,1.0,90.0,70.0,84.0
77,brute_force,0.0,1.0,35,0.0,0.9,1.0,90.0,70.0,84.0
78,brute_force,0.0,1.0,35,0.0,1.0,1.0,90.0,70.0,84.0
79,brute_force,0.0,1.5,35,0.1,0.5,1.0,90.0,70.0,84.0
80,brute_force,0.0,1.0,35,0.1,0.6000000000000001,1.0,90.0,70.0,84.0
81,brute_force,0.0,1.0,35,0.1,0.7000000000000001,1.0,90.0,70.0,84.0
82,brute_force,0.0,1.0,35,0.1,0.8,1.0,90.0,70.0,84.0
83,brute_force,0.0,1.0,35,0.1,0.9,1.0,90.0,70.0,84.0
84,brute_force,0.0,1.0,35,0.1,1.0,1.0,90.0,70.0,84.0
85,brute_force,0.0,1.0,35,0.2,0.5,1.0,90.0,70.0,84.0
86,brute_force,0.0,1.0,35,0.2,0.6000000000000001,1.0,90.0,70.0,84.0
87,brute_force,0.0,1.0,35,0.2,0.7000000000000001,1.0,90.0,70.0,84.0
88,brute_force,0.0,1.0,35,0.2,0.8,1.0,90.0,70.0,84.0
89,brute_force,0.0,1.0,35,0.2,0.9,1.0,90.0,70.0,84.0
90,brute_force,0.0,1.0,35,0.2,1.0,1.0,90.0,70.0,84.0
91,brute_force,0.0,1.0,35,0.30000000000000004,0.5,1.0,90.0,70.0,84.0
92,brute_force,0.0,1.0,35,0.30000000000000004,0.6000000000000001,1.0,90.0,70.0,84.0
93,brute_force,0.0,1.0,35,0.30000000000000004,0.7000000000000001,1.0,90.0,70.0,84.0
94,brute_force,0.0,1.0,35,0.30000000000000004,0.8,1.0,90.0,70.0,84.0
95,brute_force,0.0,1.0,35,0.30000000000000004,0.9,1.0,90.0,70.0,84.0
96,brute_force,0.0,1.0,35,0.30000000000000004,1.0,1.0,90.0,70.0,84.0
97,brute_force,0.0,1.0,35,0.4,0.5,1.0,90.0,70.0,84.0
98,brute_force,0.0,1.0,35,0.4,0.6000000000000001,1.0,90.0,70.0,84.0
99,brute_force,0.0,1.0,35,0.4,0.7000000000000001,1.0,90.0,70.0,84.0
100,brute_force,0.0,1.0,35,0.4,0.8,1.0,90.0,70.0,84.0
101,brute_force,0.0,1.0,35,0.4,0.9,1.0,90.0,70.0,84.0
102,brute_force,0.0,1.0,35,0.4,1.0,1.0,90.0,70.0,84.0
103,brute_force,0.0,1.0,35,0.5,0.5,1.0,90.0,70.0,84.0
104,brute_force,0.0,1.0,35,0.5,0.6000000000000001,1.0,90.0,70.0,84.0
105,brute_force,0.0,1.0,35,0.5,0.7000000000000001,1.0,90.0,70.0,84.0
106,brute_force,0.0,1.0,35,0.5,0.8,1.0,90.0,70.0,84.0
107,brute_force,0.0,1.0,35,0.5,0.9,1.0,90.0,70.0,84.0
108,brute_force,0.0,1.0,35,0.5,1.0,1.0,90.0,70.0,84.0
